
[Name]
fluid

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
2.61619985e-01, 2.60926085e-03, 5.00000024e-04, 1.45547651e-02, 5.18703461e-03, 5.07345051e-03, 1.34452066e-05, 1.29526470e-05, 0.00000000e+00, 2.61619985e-01, 2.60926085e-03, 5.00000024e-04
2.59079993e-01, 2.60922336e-03, 5.00000024e-04, 1.47318924e-02, 5.20414254e-03, 5.09016635e-03, 1.37055704e-05, 1.31995657e-05, 0.00000000e+00, 2.59079993e-01, 2.60922336e-03, 5.00000024e-04
2.56540000e-01, 2.60918611e-03, 5.00000024e-04, 1.49097973e-02, 5.22150379e-03, 5.10713598e-03, 1.39707554e-05, 1.34511693e-05, 0.00000000e+00, 2.56540000e-01, 2.60918611e-03, 5.00000024e-04
2.54000008e-01, 2.60914862e-03, 5.00000024e-04, 1.50884921e-02, 5.23912581e-03, 5.12435939e-03, 1.42402005e-05, 1.37068673e-05, 0.00000000e+00, 2.54000008e-01, 2.60914862e-03, 5.00000024e-04
2.51459986e-01, 2.60911137e-03, 5.00000024e-04, 1.52679961e-02, 5.25701232e-03, 5.14183939e-03, 1.45134545e-05, 1.39662006e-05, 0.00000000e+00, 2.51459986e-01, 2.60911137e-03, 5.00000024e-04
2.48919994e-01, 2.60907412e-03, 5.00000024e-04, 1.54483244e-02, 5.27516939e-03, 5.15958667e-03, 1.47901683e-05, 1.42288372e-05, 0.00000000e+00, 2.48919994e-01, 2.60907412e-03, 5.00000024e-04
2.46380001e-01, 2.60903663e-03, 5.00000024e-04, 1.56294927e-02, 5.29359933e-03, 5.17759472e-03, 1.50699743e-05, 1.44943942e-05, 0.00000000e+00, 2.46380001e-01, 2.60903663e-03, 5.00000024e-04
2.43839994e-01, 2.60899938e-03, 5.00000024e-04, 1.58115122e-02, 5.31230867e-03, 5.19587845e-03, 1.53522997e-05, 1.47624587e-05, 0.00000000e+00, 2.43839994e-01, 2.60899938e-03, 5.00000024e-04
2.41300002e-01, 2.60896189e-03, 5.00000024e-04, 1.59943923e-02, 5.33130113e-03, 5.21444203e-03, 1.56363676e-05, 1.50323085e-05, 0.00000000e+00, 2.41300002e-01, 2.60896189e-03, 5.00000024e-04
2.38759995e-01, 2.60892464e-03, 5.00000024e-04, 1.61781516e-02, 5.35058277e-03, 5.23328315e-03, 1.59219016e-05, 1.53035999e-05, 0.00000000e+00, 2.38759995e-01, 2.60892464e-03, 5.00000024e-04
2.36220002e-01, 2.60888715e-03, 5.00000024e-04, 1.63628031e-02, 5.37015963e-03, 5.25242090e-03, 1.62102642e-05, 1.55775888e-05, 0.00000000e+00, 2.36220002e-01, 2.60888715e-03, 5.00000024e-04
2.33679995e-01, 2.60884990e-03, 5.00000024e-04, 1.65483616e-02, 5.39003685e-03, 5.27184643e-03, 1.65043966e-05, 1.58569492e-05, 0.00000000e+00, 2.33679995e-01, 2.60884990e-03, 5.00000024e-04
2.31140003e-01, 2.60881241e-03, 5.00000024e-04, 1.67348310e-02, 5.41022141e-03, 5.29157184e-03, 1.68073748e-05, 1.61446478e-05, 0.00000000e+00, 2.31140003e-01, 2.60881241e-03, 5.00000024e-04
2.28599995e-01, 2.60877516e-03, 5.00000024e-04, 1.69222280e-02, 5.43072354e-03, 5.31161344e-03, 1.71209522e-05, 1.64424073e-05, 0.00000000e+00, 2.28599995e-01, 2.60877516e-03, 5.00000024e-04
2.26060003e-01, 2.60873768e-03, 5.00000024e-04, 1.71105508e-02, 5.45155397e-03, 5.33196982e-03, 1.74459583e-05, 1.67508715e-05, 0.00000000e+00, 2.26060003e-01, 2.60873768e-03, 5.00000024e-04
2.23519996e-01, 2.60870042e-03, 5.00000024e-04, 1.72998197e-02, 5.47272246e-03, 5.35265682e-03, 1.77842412e-05, 1.70717740e-05, 0.00000000e+00, 2.23519996e-01, 2.60870042e-03, 5.00000024e-04
